,Bag-of-Word,TF-iDF,max_features
0,0.3366396231202814,0.33395408269624144,100
1,0.48040034861325404,0.47795893809412754,200
2,0.5526369398321737,0.5526727915861386,300
3,0.589259035821769,0.5907310098714956,400
4,0.6211618891634684,0.622798332530888,500
5,0.648548757486702,0.6512518631372545,600
6,0.6703292577241232,0.6727244933475819,700
7,0.6799036635743079,0.6874261725143536,800
8,0.6908769830437123,0.7001379717544467,900
9,0.7031703271547419,0.7124901917188088,1000
10,0.7106700856203545,0.7185577341719457,1100
11,0.7174132581866813,0.7257531394489306,1200
12,0.7224791916544284,0.7305627842559053,1300
13,0.7412606280504439,0.7498279175548276,1400
14,0.7536670294545229,0.7635949838619649,1500
15,0.7568684455897384,0.7674505664687079,1600
16,0.759450868094345,0.7702091672312706,1700
17,0.7644464306915064,0.7732356987488267,1800
18,0.7682505937705224,0.7763971153726457,1900
19,0.7704501255110585,0.7770185608133201,2000
20,0.7762486721717273,0.7829673792075404,2100
21,0.7797607189429135,0.7857002098495804,2200
22,0.7799394028165575,0.7864932086497789,2300
23,0.7887860677220873,0.7956599783250216,2400
24,0.7899978203950229,0.7967222337152327,2500
25,0.7901804688497934,0.7974379876416768,2600
26,0.7930562295786484,0.8008952114721721,2700
27,0.7949468291528635,0.8033924741426455,2800
28,0.7949468291528635,0.8034094216555401,2900
29,0.7949468291528635,0.8034094216555401,3000
30,0.7949468291528635,0.8034094216555401,3100
