n,score,type
1,0.8028154644686237,TF-iDF
1,0.7925956003505131,Bag-of-Words
2,0.7924244249948129,TF-iDF
2,0.7884342448225065,Bag-of-Words
3,0.7868346062392801,TF-iDF
3,0.7847426466994272,Bag-of-Words
4,0.7868986447848367,TF-iDF
4,0.7836686207429683,Bag-of-Words
